id,product_uid,brand_length_in_query,brand_name_size,brand_name_query,brand_name_in_attr
2,100001,0.0,2.0,,Simpson Strong-Tie
3,100001,0.0,2.0,,Simpson Strong-Tie
9,100002,0.0,4.0,,BEHR Premium Textured DeckOver
16,100005,0.0,1.0,,Delta
17,100005,0.0,1.0,,Delta
18,100006,0.0,1.0,,Whirlpool
20,100006,0.0,1.0,,Whirlpool
21,100006,0.0,1.0,,Whirlpool
23,100007,1.0,2.0,light,Lithonia Lighting
27,100009,0.0,3.0,,House of Fara
34,100010,0.0,3.0,,Valley View Industries
35,100011,0.0,1.0,,Toro
37,100011,0.0,1.0,,Toro
38,100011,0.0,1.0,,Toro
48,100012,2.0,2.0,hampton bay,Hampton Bay
51,100013,0.0,1.0,,InSinkErator
65,100016,0.0,1.0,,Sunjoy
69,100017,0.0,3.0,,MD Building Products
75,100017,0.0,3.0,,MD Building Products
81,100017,0.0,3.0,,MD Building Products
85,100017,0.0,3.0,,MD Building Products
88,100019,0.0,3.0,,House of Fara
90,100019,0.0,3.0,,House of Fara
92,100019,0.0,3.0,,House of Fara
101,100019,0.0,3.0,,House of Fara
105,100019,0.0,3.0,,House of Fara
106,100019,0.0,3.0,,House of Fara
113,100021,0.0,2.0,,Rain Bird
114,100021,0.0,2.0,,Rain Bird
117,100022,0.0,1.0,,Samsung
120,100022,1.0,1.0,samsung,Samsung
122,100022,0.0,1.0,,Samsung
123,100023,0.0,1.0,,Quikrete
125,100023,0.0,1.0,,Quikrete
127,100023,0.0,1.0,,Quikrete
136,100026,1.0,2.0,pavers,Nantucket Pavers
138,100026,0.0,2.0,,Nantucket Pavers
143,100027,0.0,1.0,,UltraTouch
147,100028,0.0,2.0,,Backyard X-Scapes
149,100028,0.0,2.0,,Backyard X-Scapes
150,100028,0.0,2.0,,Backyard X-Scapes
157,100028,0.0,2.0,,Backyard X-Scapes
158,100028,0.0,2.0,,Backyard X-Scapes
162,100029,0.0,1.0,,DecoArt
164,100030,0.0,0.0,,Unbranded
165,100030,0.0,0.0,,Unbranded
166,100030,0.0,0.0,,Unbranded
172,100033,0.0,1.0,,HDX
177,100033,1.0,1.0,hdx,HDX
178,100033,0.0,1.0,,HDX
179,100033,0.0,1.0,,HDX
181,100033,0.0,1.0,,HDX
182,100033,0.0,1.0,,HDX
186,100033,0.0,1.0,,HDX
191,100033,0.0,1.0,,HDX
193,100033,0.0,1.0,,HDX
195,100034,0.0,1.0,,Marshalltown
201,100036,0.0,1.0,,Rubbermaid
202,100036,0.0,1.0,,Rubbermaid
203,100036,0.0,1.0,,Rubbermaid
205,100036,0.0,1.0,,Rubbermaid
210,100037,1.0,1.0,husky,Husky
214,100038,0.0,1.0,,RIDGID
215,100038,0.0,1.0,,RIDGID
223,100039,0.0,1.0,,Emberglow
226,100039,0.0,1.0,,Emberglow
227,100039,0.0,1.0,,Emberglow
233,100039,0.0,1.0,,Emberglow
241,100042,2.0,2.0,american standard,American Standard
245,100042,0.0,2.0,,American Standard
255,100045,0.0,4.0,,Sumner Street Home Hardware
257,100046,0.0,1.0,,HDX
259,100046,0.0,1.0,,HDX
261,100046,0.0,1.0,,HDX
266,100046,0.0,1.0,,HDX
270,100046,0.0,1.0,,HDX
272,100047,1.0,2.0,bolt,Crown Bolt
275,100047,0.0,2.0,,Crown Bolt
276,100047,0.0,2.0,,Crown Bolt
284,100049,0.0,1.0,,Henry
290,100050,0.0,2.0,,Hampton Bay
293,100051,0.0,2.0,,Hampton Bay
294,100051,2.0,2.0,hampton bay,Hampton Bay
297,100051,0.0,2.0,,Hampton Bay
305,100053,0.0,0.0,,Unbranded
314,100054,1.0,2.0,doors,Stanley Doors
318,100054,2.0,2.0,steel door,Stanley Doors
319,100054,2.0,2.0,stanley doors,Stanley Doors
323,100055,1.0,1.0,moen,MOEN
327,100055,0.0,1.0,,MOEN
331,100055,0.0,1.0,,MOEN
334,100055,0.0,1.0,,MOEN
335,100055,0.0,1.0,,MOEN
340,100056,0.0,2.0,,Bare Ground
341,100057,0.0,2.0,,Owens Corning
343,100057,0.0,2.0,,Owens Corning
346,100057,2.0,2.0,owens corning,Owens Corning
347,100057,0.0,2.0,,Owens Corning
350,100057,0.0,2.0,,Owens Corning
351,100058,0.0,2.0,,Gama Sonic
354,100058,0.0,2.0,,Gama Sonic
355,100058,0.0,2.0,,Gama Sonic
359,100059,0.0,0.0,,Unbranded
361,100060,0.0,1.0,,RDI
363,100060,0.0,1.0,,RDI
365,100060,0.0,1.0,,RDI
373,100063,1.0,1.0,bazz,BAZZ
374,100063,0.0,1.0,,BAZZ
375,100063,0.0,1.0,,BAZZ
385,100064,0.0,2.0,,TrafficMASTER Allure
389,100065,0.0,2.0,,Glacier Bay
397,100065,0.0,2.0,,Glacier Bay
400,100065,2.0,2.0,glaciar bay,Glacier Bay
401,100065,2.0,2.0,glacie bay,Glacier Bay
402,100065,2.0,2.0,glacier bay,Glacier Bay
403,100065,2.0,2.0,glacier bay,Glacier Bay
407,100065,0.0,2.0,,Glacier Bay
